source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0305958263,-118.430375124,"2738 S SEPULVEDA BLVD, 90064",0,34.0305958263_-118.430375124_0.jpg,2,0.7988,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0425130882,-118.245465092,"421 E 6TH ST, 90014",0,34.0425130882_-118.245465092_0.jpg,1,0.7807,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0425130882,-118.245465092,"421 E 6TH ST, 90014",90,34.0425130882_-118.245465092_90.jpg,2,0.8355,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.069329985,-118.281200661,"OCCIDENTAL BLVD AT 2ND ST, 90057",0,34.069329985_-118.281200661_0.jpg,1,0.8381,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1894612183,-118.47519975,"6529 N HASKELL AVE, 91406",270,34.1894612183_-118.47519975_270.jpg,1,0.8174,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0835661463,-118.212765356,"3314 N SMITH ST, 90031",0,34.0835661463_-118.212765356_0.jpg,1,0.7104,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,33.9973758631,-118.420030878,"11924 W LOUISE AVE, 90066",0,33.9973758631_-118.420030878_0.jpg,1,0.7536,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0393524922,-118.317579497,"1914 S ARLINGTON AVE, 90018",0,34.0393524922_-118.317579497_0.jpg,1,0.6815,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0624205676,-118.303976684,"628 S HARVARD BLVD, 90005",0,34.0624205676_-118.303976684_0.jpg,1,0.8321,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0624205676,-118.303976684,"628 S HARVARD BLVD, 90005",90,34.0624205676_-118.303976684_90.jpg,2,0.8611,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.208647556,-118.621642651,"7612 N PONCE AVE, 91304",180,34.208647556_-118.621642651_180.jpg,1,0.6224,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0273114583,-118.406408014,"3501 S JASMINE AVE, 90034",270,34.0273114583_-118.406408014_270.jpg,1,0.8984,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0425081628,-118.24349834,"536 S CROCKER ST, 90013",90,34.0425081628_-118.24349834_90.jpg,1,0.8984,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0425081628,-118.24349834,"536 S CROCKER ST, 90013",180,34.0425081628_-118.24349834_180.jpg,1,0.7848,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.058384099,-118.238483794,"113 W CESAR E CHAVEZ AVE, 90012",180,34.058384099_-118.238483794_180.jpg,2,0.7479,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2063780053,-118.594364774,"21200 W COHASSET ST, 91303",180,34.2063780053_-118.594364774_180.jpg,1,0.7196,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1719774976,-118.383159132,"11524 W BURBANK BLVD, 91601",0,34.1719774976_-118.383159132_0.jpg,1,0.637,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1719774976,-118.383159132,"11524 W BURBANK BLVD, 91601",270,34.1719774976_-118.383159132_270.jpg,1,0.763,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0539792709,-118.26750991,"1316 W WILSHIRE BLVD, 90017",0,34.0539792709_-118.26750991_0.jpg,1,0.8572,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0539792709,-118.26750991,"1316 W WILSHIRE BLVD, 90017",90,34.0539792709_-118.26750991_90.jpg,3,0.7879,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0542174427,-118.267180233,"1317 W WILSHIRE BLVD, 90017",90,34.0542174427_-118.267180233_90.jpg,1,0.7284,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1668877459,-118.371700145,"11058 W WEDDINGTON ST, 91601",90,34.1668877459_-118.371700145_90.jpg,1,0.8366,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0563526582,-118.272610213,"1800 W WILSHIRE BLVD, 90057",270,34.0563526582_-118.272610213_270.jpg,1,0.7046,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0347000841,-118.269035951,"1803 S HOPE ST, 90015",180,34.0347000841_-118.269035951_180.jpg,2,0.7981,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0347000841,-118.269035951,"1803 S HOPE ST, 90015",270,34.0347000841_-118.269035951_270.jpg,1,0.7745,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1051623935,-118.337513771,"FRANKLIN AVE AT HIGHLAND AVE, 90028",270,34.1051623935_-118.337513771_270.jpg,1,0.7489,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0575577575,-118.348186184,"953 S CLOVERDALE AVE, 90036",270,34.0575577575_-118.348186184_270.jpg,1,0.6024,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.324013665,-118.469919894,"15455 N GLENOAKS BLVD, 91342",90,34.324013665_-118.469919894_90.jpg,1,0.8915,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1550010677,-118.378862056,"4632 N TUJUNGA AVE, 91602",180,34.1550010677_-118.378862056_180.jpg,1,0.7451,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0608335461,-118.28340081,"656 S LA FAYETTE PARK PL, 90057",90,34.0608335461_-118.28340081_90.jpg,2,0.8747,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0721359191,-118.215799774,"2309 N DALY ST, 90031",270,34.0721359191_-118.215799774_270.jpg,2,0.8143,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2085922287,-118.585482335,"7603 N IRONDALE AVE, 91306",180,34.2085922287_-118.585482335_180.jpg,1,0.8962,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,33.954377736,-118.413311872,"9386 S LINCOLN BLVD, 90045",0,33.954377736_-118.413311872_0.jpg,1,0.6593,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0172967523,-118.30769385,"3802 S HOBART BLVD, 90062",270,34.0172967523_-118.30769385_270.jpg,1,0.8542,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0778086339,-118.279835437,"520 N SILVER LAKE BLVD, 90026",90,34.0778086339_-118.279835437_90.jpg,1,0.6024,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0001064789,-118.242245392,"4815 S STAUNTON AVE, 90058",0,34.0001064789_-118.242245392_0.jpg,1,0.8265,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0001064789,-118.242245392,"4815 S STAUNTON AVE, 90058",90,34.0001064789_-118.242245392_90.jpg,1,0.7197,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2237709346,-118.45181523,"8425 N TOBIAS AVE, 91402",180,34.2237709346_-118.45181523_180.jpg,1,0.8264,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,33.9971601549,-118.459644658,"1507 S LINCOLN BLVD, 90291",0,33.9971601549_-118.459644658_0.jpg,1,0.6013,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,33.9943591275,-118.291377802,"5230 S VERMONT AVE, 90037",180,33.9943591275_-118.291377802_180.jpg,2,0.7784,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0001699687,-118.242248395,"4809 S STAUNTON AVE, 90058",270,34.0001699687_-118.242248395_270.jpg,1,0.8887,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0474963773,-118.443938545,"11090 W SANTA MONICA BLVD, 90025",0,34.0474963773_-118.443938545_0.jpg,1,0.7675,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.085094036,-118.260598043,"1641 N ALLESANDRO ST, 90026",90,34.085094036_-118.260598043_90.jpg,1,0.7338,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.2184823567,-118.390430997,"8159 N WEBB AVE, 91605",270,34.2184823567_-118.390430997_270.jpg,3,0.8561,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0251205356,-118.268770073,"2531 S MAIN ST, 90007",0,34.0251205356_-118.268770073_0.jpg,1,0.8691,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0251205356,-118.268770073,"2531 S MAIN ST, 90007",270,34.0251205356_-118.268770073_270.jpg,1,0.8698,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0548876806,-118.194800828,"1266 N EVERGREEN AVE, 90033",90,34.0548876806_-118.194800828_90.jpg,1,0.8062,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.9391426568,-118.291614111,"899 W 107TH ST, 90044",270,33.9391426568_-118.291614111_270.jpg,1,0.7327,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0765102976,-118.290694664,"301 N JUANITA AVE, 90004",270,34.0765102976_-118.290694664_270.jpg,2,0.8504,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0434845361,-118.245859526,"545 S SAN JULIAN ST, 90013",270,34.0434845361_-118.245859526_270.jpg,3,0.8215,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0269525466,-118.24228843,"1221 S COMPTON AVE, 90021",90,34.0269525466_-118.24228843_90.jpg,1,0.8921,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0171096198,-118.20658018,"3406 E 14TH ST, 90023",90,34.0171096198_-118.20658018_90.jpg,1,0.8676,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0401885774,-118.285453527,"1349 W WASHINGTON BLVD, 90007",0,34.0401885774_-118.285453527_0.jpg,1,0.8731,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0670033341,-118.292804115,"408 S NEW HAMPSHIRE AVE, 90020",90,34.0670033341_-118.292804115_90.jpg,1,0.8952,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.9725792321,-118.30049919,"7403 S NORMANDIE AVE, 90044",180,33.9725792321_-118.30049919_180.jpg,1,0.6876,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.1052995849,-118.333960529,"6615 W FRANKLIN AVE, 90028",270,34.1052995849_-118.333960529_270.jpg,1,0.7689,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0440931804,-118.443352922,"1840 S COTNER AVE, 90025",0,34.0440931804_-118.443352922_0.jpg,3,0.8704,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.1851190797,-118.465204103,"6317 N HALBRENT AVE, 91411",270,34.1851190797_-118.465204103_270.jpg,1,0.6306,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.980145216,-118.265423786,"6515 S AVALON BLVD, 90003",0,33.980145216_-118.265423786_0.jpg,1,0.8789,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.1698566984,-118.372347722,"11054 W CUMPSTON ST, 91601",180,34.1698566984_-118.372347722_180.jpg,1,0.8639,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.1698566984,-118.372347722,"11054 W CUMPSTON ST, 91601",270,34.1698566984_-118.372347722_270.jpg,1,0.7782,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.7293748714,-118.27971855,"1600 S HARBOR BLVD, 90731",270,33.7293748714_-118.27971855_270.jpg,1,0.6501,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.9462491233,-118.23958499,"9910 S BANDERA ST, 90002",90,33.9462491233_-118.23958499_90.jpg,1,0.913,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,33.9979623861,-118.23886356,"5001 S ALAMEDA ST, 90058",270,33.9979623861_-118.23886356_270.jpg,1,0.8063,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0274214693,-118.24661571,"1338 E NEWTON ST, 90021",180,34.0274214693_-118.24661571_180.jpg,2,0.9165,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0274214693,-118.24661571,"1338 E NEWTON ST, 90021",270,34.0274214693_-118.24661571_270.jpg,1,0.9123,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0370605853,-118.243992965,"736 S CERES AVE, 90021",0,34.0370605853_-118.243992965_0.jpg,1,0.838,tent
api_test_workflow_v2_10pct_model6_2026-05-06_live,34.0428457391,-118.246204297,"6TH ST AT SAN JULIAN ST, 90013",0,34.0428457391_-118.246204297_0.jpg,3,0.8099,tent
